==============================================================================
0450 : ROL 1B     :     1320 cycles (  0.006995%)      264 ins (5.00 cpi)
0452 : LDA 1B     :      792 cycles (  0.004197%)      264 ins (3.00 cpi)
0454 : SEC        :      528 cycles (  0.002798%)      264 ins (2.00 cpi)
0455 : SBC #0A    :      528 cycles (  0.002798%)      264 ins (2.00 cpi)
0457 : BCC 045D   :      744 cycles (  0.003943%)      264 ins (2.82 cpi)
0459 : STA 1B     :      144 cycles (  0.000763%)       48 ins (3.00 cpi)
045B : INC 18     :      240 cycles (  0.001272%)       48 ins (5.00 cpi)
045D : DEY        :      528 cycles (  0.002798%)      264 ins (2.00 cpi)
045E : BNE 044A   :      781 cycles (  0.004139%)      264 ins (2.96 cpi)
0460 : LDA 1B     :       33 cycles (  0.000175%)       11 ins (3.00 cpi)
0462 : ORA #30    :       22 cycles (  0.000117%)       11 ins (2.00 cpi)
0464 : PHA        :       33 cycles (  0.000175%)       11 ins (3.00 cpi)
0465 : LDA 18     :       33 cycles (  0.000175%)       11 ins (3.00 cpi)
0467 : ORA 19     :       33 cycles (  0.000175%)       11 ins (3.00 cpi)
0469 : ORA 1A     :       33 cycles (  0.000175%)       11 ins (3.00 cpi)
046B : BNE 0444   :       31 cycles (  0.000164%)       11 ins (2.82 cpi)
046D : PLA        :        8 cycles (  0.000042%)        2 ins (4.00 cpi)
046E : JSR FE72   :       66 cycles (  0.000350%)       11 ins (6.00 cpi)
0471 : PLA        :       44 cycles (  0.000233%)       11 ins (4.00 cpi)
0472 : BNE 046E   :       31 cycles (  0.000164%)       11 ins (2.82 cpi)
0474 : PLY        :        8 cycles (  0.000042%)        2 ins (4.00 cpi)
0475 : PLA        :        8 cycles (  0.000042%)        2 ins (4.00 cpi)
0476 : RTS        :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
FE00 : LDX #40    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE02 : STX 0203   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
FE05 : STX 0200   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
FE08 : LDX #FF    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE0A : TXS        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE0B : SEI        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE0C : CLV        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE0D : CLD        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE0E : CPX #00    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE10 : TXA        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE11 : TAY        :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE12 : LDA #0C    :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE14 : STA FF00   :        4 cycles (  0.000021%)        1 ins (4.00 cpi)
FE17 : JSR FE87   :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
FE23 : JSR FE7E   :       36 cycles (  0.000191%)        6 ins (6.00 cpi)
FE26 : JSR FE72   :       36 cycles (  0.000191%)        6 ins (6.00 cpi)
FE29 : DEC A      :       12 cycles (  0.000064%)        6 ins (2.00 cpi)
FE2A : BEQ FE5C   :       14 cycles (  0.000074%)        6 ins (2.33 cpi)
FE2C : DEC A      :        8 cycles (  0.000042%)        4 ins (2.00 cpi)
FE2D : BEQ FE34   :       11 cycles (  0.000058%)        4 ins (2.75 cpi)
FE2F : DEC A      :        2 cycles (  0.000011%)        1 ins (2.00 cpi)
FE30 : BEQ FE59   :        3 cycles (  0.000016%)        1 ins (3.00 cpi)
FE34 : LDY #00    :        6 cycles (  0.000032%)        3 ins (2.00 cpi)
FE36 : STZ 02     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
FE38 : STZ 03     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
FE3A : CLC        :        6 cycles (  0.000032%)        3 ins (2.00 cpi)
FE3B : JSR FE7E   :     4608 cycles (  0.024419%)      768 ins (6.00 cpi)
FE3E : STA (00),Y :     4608 cycles (  0.024419%)      768 ins (6.00 cpi)
FE40 : ADC 02     :     2304 cycles (  0.012210%)      768 ins (3.00 cpi)
FE42 : STA 02     :     2304 cycles (  0.012210%)      768 ins (3.00 cpi)
FE44 : ADC 03     :     2304 cycles (  0.012210%)      768 ins (3.00 cpi)
FE46 : STA 03     :     2304 cycles (  0.012210%)      768 ins (3.00 cpi)
FE48 : INY        :     1536 cycles (  0.008140%)      768 ins (2.00 cpi)
FE49 : BNE FE3B   :     2301 cycles (  0.012194%)      768 ins (3.00 cpi)
FE4B : LDA 02     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
FE4D : JSR FE72   :       18 cycles (  0.000095%)        3 ins (6.00 cpi)
FE50 : LDA 03     :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
FE52 : JSR FE72   :       18 cycles (  0.000095%)        3 ins (6.00 cpi)
FE55 : INC 01     :       15 cycles (  0.000079%)        3 ins (5.00 cpi)
FE57 : BRA FE23   :        9 cycles (  0.000048%)        3 ins (3.00 cpi)
FE59 : JMP (0000) :        6 cycles (  0.000032%)        1 ins (6.00 cpi)
FE5C : JSR FE7E   :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
FE5F : STA 00     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
FE61 : JSR FE7E   :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
FE64 : STA 01     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
FE66 : LDA 00     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
FE68 : JSR FE72   :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
FE6B : LDA 01     :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
FE6D : JSR FE72   :       12 cycles (  0.000064%)        2 ins (6.00 cpi)
FE70 : BRA FE23   :        6 cycles (  0.000032%)        2 ins (3.00 cpi)
FE72 : STA FF70   :     2088 cycles (  0.011065%)      522 ins (4.00 cpi)
FE75 : BIT FF01   :     2088 cycles (  0.011065%)      522 ins (4.00 cpi)
FE78 : BPL FE72   :     1495 cycles (  0.007922%)      522 ins (2.86 cpi)
FE7A : STA FF00   :      284 cycles (  0.001505%)       71 ins (4.00 cpi)
FE7D : RTS        :      426 cycles (  0.002258%)       71 ins (6.00 cpi)
